fill	x	y	tooltip	key	showSelectedlegendfill	clickSelects	showSelected1
#FFFFFF	0.25	0.75	-4.0<thresh<-3.2 FP=3 FN=1	4.2 -3.5987564321254	More	-3.5987564321254	4.2
#000000	0.166666666666667	0.75	-3.2<thresh<-2.9 FP=2 FN=1	4.2 -3.02956141970862	Min	-3.02956141970862	4.2
#FFFFFF	0.166666666666667	0.5	-2.9<thresh<-2.6 FP=2 FN=2	4.2 -2.74660668692694	More	-2.74660668692694	4.2
#000000	0.0833333333333333	0.5	-2.6<thresh<-2.5 FP=1 FN=2	4.2 -2.524465240576	Min	-2.524465240576	4.2
#FFFFFF	0.0833333333333333	0.25	-2.5<thresh<-1.0 FP=1 FN=3	4.2 -1.7250450381836	More	-1.7250450381836	4.2
#000000	0	0.25	-1.0<thresh<1.6 FP=0 FN=3	4.2 0.293237447653286	Min	0.293237447653286	4.2
#FFFFFF	0	0	1.6<thresh<Inf FP=0 FN=4	4.2 Inf	More	Inf	4.2
#FFFFFF	1	1	-Inf<thresh<-8.4 FP=12 FN=0	4.4 -Inf	More	-Inf	4.4
#FFFFFF	0.916666666666667	1	-8.4<thresh<-7.5 FP=11 FN=0	4.4 -7.98704105367987	More	-7.98704105367987	4.4
#FFFFFF	0.666666666666667	1	-7.5<thresh<-6.8 FP=8 FN=0	4.4 -7.19169083010477	More	-7.19169083010477	4.4
#FFFFFF	0.583333333333333	1	-6.8<thresh<-6.1 FP=7 FN=0	4.4 -6.47437721907083	More	-6.47437721907083	4.4
#FFFFFF	0.583333333333333	0.75	-6.1<thresh<-4.8 FP=7 FN=1	4.4 -5.44716488283047	More	-5.44716488283047	4.4
#FFFFFF	0.5	0.75	-4.8<thresh<-4.0 FP=6 FN=1	4.4 -4.41716945505453	More	-4.41716945505453	4.4
#FFFFFF	0.25	0.75	-4.0<thresh<-3.2 FP=3 FN=1	4.4 -3.5987564321254	More	-3.5987564321254	4.4
#000000	0.166666666666667	0.75	-3.2<thresh<-3.1 FP=2 FN=1	4.4 -3.12956141970862	Min	-3.12956141970862	4.4
#FFFFFF	0.166666666666667	0.5	-3.1<thresh<-2.6 FP=2 FN=2	4.4 -2.84660668692694	More	-2.84660668692694	4.4
#000000	0.0833333333333333	0.5	-2.6<thresh<-2.5 FP=1 FN=2	4.4 -2.524465240576	Min	-2.524465240576	4.4
#FFFFFF	0.0833333333333333	0.25	-2.5<thresh<-1.0 FP=1 FN=3	4.4 -1.7250450381836	More	-1.7250450381836	4.4
#000000	0	0.25	-1.0<thresh<1.6 FP=0 FN=3	4.4 0.293237447653286	Min	0.293237447653286	4.4
#FFFFFF	0	0	1.6<thresh<Inf FP=0 FN=4	4.4 Inf	More	Inf	4.4
#FFFFFF	1	1	-Inf<thresh<-8.6 FP=12 FN=0	4.6 -Inf	More	-Inf	4.6
#FFFFFF	0.916666666666667	1	-8.6<thresh<-7.7 FP=11 FN=0	4.6 -8.18704105367987	More	-8.18704105367987	4.6
#FFFFFF	0.666666666666667	1	-7.7<thresh<-7.0 FP=8 FN=0	4.6 -7.39169083010477	More	-7.39169083010477	4.6
#FFFFFF	0.583333333333333	1	-7.0<thresh<-6.3 FP=7 FN=0	4.6 -6.67437721907083	More	-6.67437721907083	4.6
#FFFFFF	0.583333333333333	0.75	-6.3<thresh<-5.0 FP=7 FN=1	4.6 -5.64716488283047	More	-5.64716488283047	4.6
#FFFFFF	0.5	0.75	-5.0<thresh<-4.0 FP=6 FN=1	4.6 -4.51716945505453	More	-4.51716945505453	4.6
#FFFFFF	0.25	0.75	-4.0<thresh<-3.3 FP=3 FN=1	4.6 -3.67426097511929	More	-3.67426097511929	4.6
#FFFFFF	0.25	0.5	-3.3<thresh<-3.2 FP=3 FN=2	4.6 -3.22956141970862	More	-3.22956141970862	4.6
#FFFFFF	0.166666666666667	0.5	-3.2<thresh<-2.6 FP=2 FN=2	4.6 -2.87110214393305	More	-2.87110214393305	4.6
#000000	0.0833333333333333	0.5	-2.6<thresh<-2.5 FP=1 FN=2	4.6 -2.524465240576	Min	-2.524465240576	4.6
#FFFFFF	0.0833333333333333	0.25	-2.5<thresh<-1.0 FP=1 FN=3	4.6 -1.7250450381836	More	-1.7250450381836	4.6
#000000	0	0.25	-1.0<thresh<1.6 FP=0 FN=3	4.6 0.293237447653286	Min	0.293237447653286	4.6
#FFFFFF	0	0	1.6<thresh<Inf FP=0 FN=4	4.6 Inf	More	Inf	4.6
#FFFFFF	1	1	-Inf<thresh<-8.8 FP=12 FN=0	4.8 -Inf	More	-Inf	4.8
#FFFFFF	0.916666666666667	1	-8.8<thresh<-7.9 FP=11 FN=0	4.8 -8.38704105367987	More	-8.38704105367987	4.8
#FFFFFF	0.666666666666667	1	-7.9<thresh<-7.2 FP=8 FN=0	4.8 -7.59169083010477	More	-7.59169083010477	4.8
#FFFFFF	0.583333333333333	1	-7.2<thresh<-6.5 FP=7 FN=0	4.8 -6.87437721907083	More	-6.87437721907083	4.8
#FFFFFF	0.583333333333333	0.75	-6.5<thresh<-5.2 FP=7 FN=1	4.8 -5.84716488283047	More	-5.84716488283047	4.8
#FFFFFF	0.5	0.75	-5.2<thresh<-4.0 FP=6 FN=1	4.8 -4.61716945505453	More	-4.61716945505453	4.8
#FFFFFF	0.25	0.75	-4.0<thresh<-3.5 FP=3 FN=1	4.8 -3.77426097511929	More	-3.77426097511929	4.8
#FFFFFF	0.25	0.5	-3.5<thresh<-3.2 FP=3 FN=2	4.8 -3.32956141970862	More	-3.32956141970862	4.8
#FFFFFF	0.166666666666667	0.5	-3.2<thresh<-2.6 FP=2 FN=2	4.8 -2.87110214393305	More	-2.87110214393305	4.8
